64, 0.987202, 0.985578, 0.983967
65, 0.987002, 0.985353, 0.983717
66, 0.986802, 0.985128, 0.983467
67, 0.986602, 0.984904, 0.983217
68, 0.986402, 0.984679, 0.982968
69, 0.986202, 0.984454, 0.982718
70, 0.986002, 0.984229, 0.982468
71, 0.985802, 0.984004, 0.982218
72, 0.985602, 0.983779, 0.981969
73, 0.985402, 0.983554, 0.981719
74, 0.985202, 0.983329, 0.981469
75, 0.985002, 0.983104, 0.981219
76, 0.984802, 0.982879, 0.980970
77, 0.984602, 0.982654, 0.980720
78, 0.984402, 0.982429, 0.980470
79, 0.984202, 0.982204, 0.980220
80, 0.984002, 0.981979, 0.979971
81, 0.983802, 0.981754, 0.979721
82, 0.983602, 0.981529, 0.979471
83, 0.983402, 0.981304, 0.979222
84, 0.983202, 0.981079, 0.978972
85, 0.983002, 0.980854, 0.978722
86, 0.982802, 0.980630, 0.978472
87, 0.982602, 0.980405, 0.978223
88, 0.982402, 0.980180, 0.977973
89, 0.982202, 0.979955, 0.977723
90, 0.982002, 0.979730, 0.977473
91, 0.981802, 0.979505, 0.977224
92, 0.981602, 0.979280, 0.976974
93, 0.981402, 0.979055, 0.976724
94, 0.981202, 0.978830, 0.976474
95, 0.981003, 0.978605, 0.976225
96, 0.980803, 0.978380, 0.975975
97, 0.980603, 0.978155, 0.975725
98, 0.980403, 0.977930, 0.975475
99, 0.980203, 0.977705, 0.975226
100, 0.980003, 0.977480, 0.974976
101, 0.979803, 0.977255, 0.974726
102, 0.979603, 0.977030, 0.974476
103, 0.979403, 0.976805, 0.974227
104, 0.979203, 0.976580, 0.973977
105, 0.979003, 0.976355, 0.973727
106, 0.978803, 0.976131, 0.973477
107, 0.978603, 0.975906, 0.973228
108, 0.978403, 0.975681, 0.972978
109, 0.978203, 0.975456, 0.972728
110, 0.978003, 0.975231, 0.972478
111, 0.977803, 0.975006, 0.972229
112, 0.977603, 0.974781, 0.971979
113, 0.977403, 0.974556, 0.971729
114, 0.977203, 0.974331, 0.971479
115, 0.977003, 0.974106, 0.971230
116, 0.976803, 0.973881, 0.970980
117, 0.976603, 0.973656, 0.970730
118, 0.976403, 0.973431, 0.970481
119, 0.976203, 0.973206, 0.970231
120, 0.976003, 0.972981, 0.969981
121, 0.975803, 0.972756, 0.969731
122, 0.975603, 0.972531, 0.969482
123, 0.975403, 0.972306, 0.969232
124, 0.975203, 0.972081, 0.968982
125, 0.975003, 0.971857, 0.968732
126, 0.974803, 0.971632, 0.968483
127, 0.974603, 0.971407, 0.968233
128, 0.974403, 0.971182, 0.967983
129, 0.974203, 0.970957, 0.967733
130, 0.974003, 0.970732, 0.967484
131, 0.973803, 0.970507, 0.967234
132, 0.973603, 0.970282, 0.966984
133, 0.973404, 0.970057, 0.966734
134, 0.973204, 0.969832, 0.966485
135, 0.973004, 0.969607, 0.966235
136, 0.972804, 0.969382, 0.965985
137, 0.972604, 0.969157, 0.965735
138, 0.972404, 0.968932, 0.965486
139, 0.972204, 0.968707, 0.965236
